#<time>,<Q_Input>(cm^/s)
0.0,0.0
4.0001000025e-05,0.000314167114369
8.000200005e-05,0.000628334197729
0.000120003000075,0.000942501219072
0.0001600040001,0.00125666814739
0.000200005000125,0.00157083495167
0.00024000600015,0.00188500160091
0.000280007000175,0.0021991680641
0.0003200080002,0.00251333431023
0.000360009000225,0.00282750030829
0.00040001000025,0.00314166602727
0.000440011000275,0.00345583143617
0.0004800120003,0.00376999650397
0.000520013000325,0.00408416119967
0.00056001400035,0.00439832549226
0.000600015000375,0.00471248935074
0.0006400160004,0.00502665274408
0.000680017000425,0.00534081564129
0.00072001800045,0.00565497801135
0.000760019000475,0.00596913982327
0.0008000200005,0.00628330104602
0.000840021000525,0.0065974616486
0.00088002200055,0.00691162160001
0.000920023000575,0.00722578086924
0.0009600240006,0.00753993942527
0.00100002500063,0.0078540972371
0.00104002600065,0.00816825427373
0.00108002700068,0.00848241050414
0.0011200280007,0.00879656589733
0.00116002900073,0.0091107204223
0.00120003000075,0.00942487404802
0.00124003100078,0.0097390267435
0.0012800320008,0.0100531784777
0.00132003300083,0.0103673292197
0.00136003400085,0.0106814789384
0.00140003500088,0.0109956276028
0.0014400360009,0.011309775182
0.00148003700093,0.0116239216448
0.00152003800095,0.0119380669604
0.00156003900098,0.0122522110977
0.001600040001,0.0125663540257
0.00164004100103,0.0128804957133
0.00168004200105,0.0131946361297
0.00172004300108,0.0135087752437
0.0017600440011,0.0138229130244
0.00180004500113,0.0141370494407
0.00184004600115,0.0144511844617
0.00188004700118,0.0147653180564
0.0019200480012,0.0150794501937
0.00196004900123,0.0153935808427
0.00200005000125,0.0157077099723
0.00204005100128,0.0160218375515
0.0020800520013,0.0163359635494
0.00212005300133,0.0166500879348
0.00216005400135,0.0169642106769
0.00220005500138,0.0172783317447
0.0022400560014,0.017592451107
0.00228005700143,0.0179065687329
0.00232005800145,0.0182206845915
0.00236005900148,0.0185347986516
0.0024000600015,0.0188489108824
0.00244006100153,0.0191630212527
0.00248006200155,0.0194771297316
0.00252006300158,0.0197912362881
0.0025600640016,0.0201053408912
0.00260006500163,0.0204194435099
0.00264006600165,0.0207335441132
0.00268006700168,0.02104764267
0.0027200680017,0.0213617391495
0.00276006900173,0.0216758335205
0.00280007000175,0.021989925752
0.00284007100178,0.0223040158132
0.0028800720018,0.0226181036729
0.00292007300183,0.0229321893002
0.00296007400185,0.023246272664
0.00300007500188,0.0235603537334
0.0030400760019,0.0238744324774
0.00308007700193,0.024188508865
0.00312007800195,0.0245025828651
